Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,Car Age
Ford,Fiesta,1.0,Diesel,2017,38370,16257,5
Toyota,RAV4,2.4,Petrol,2018,24588,49125,4
VW,Polo,1.0,Diesel,2000,207339,1480,22
Ford,Fiesta,1.0,Petrol,1990,182958,873,32
VW,Passat,1.6,Diesel,1994,114647,4008,28
VW,Polo,1.0,Petrol,1995,162993,1482,27
VW,Golf,1.2,Petrol,2002,139884,3713,20
Porsche,Cayenne,2.6,Diesel,2015,33693,54037,7
BMW,Z4,2.2,Petrol,2004,126777,8373,18
Ford,Fiesta,1.2,Petrol,2010,51553,9813,12
Toyota,Yaris,1.0,Petrol,2010,75821,8851,12
VW,Polo,1.4,Diesel,2010,45193,11881,12
VW,Polo,1.6,Petrol,1997,87723,3840,25
Ford,Focus,1.8,Petrol,1993,279656,863,29
VW,Golf,2.0,Hybrid,2018,25017,36957,4
Ford,Fiesta,1.2,Petrol,1996,111771,2543,26
Toyota,Prius,1.4,Hybrid,2016,43893,29946,6
Toyota,Yaris,1.0,Petrol,2007,118788,5306,15
Toyota,Prius,1.4,Hybrid,2016,43130,30085,6
VW,Passat,1.6,Diesel,1991,247911,1052,31
Ford,Focus,2.0,Petrol,1991,272161,854,31
VW,Passat,1.6,Diesel,1994,179361,2371,28
Ford,Fiesta,1.0,Petrol,2009,66424,7616,13
Ford,Mondeo,1.8,Diesel,1999,104544,6058,23
Toyota,Yaris,1.0,Hybrid,1999,80589,4937,23
Ford,Mondeo,1.4,Diesel,2000,128137,4771,22
Porsche,718 Cayman,2.0,Petrol,1992,169078,3074,30
VW,Passat,1.6,Petrol,2016,64344,23641,6
VW,Passat,1.6,Diesel,1993,176456,2274,29
Ford,Focus,1.4,Petrol,1985,179526,1105,37
Toyota,RAV4,1.8,Hybrid,1999,162425,5396,23
Porsche,718 Cayman,2.4,Petrol,2021,14070,69526,1
BMW,Z4,2.4,Petrol,1993,226492,1799,29
Ford,Fiesta,1.2,Petrol,1995,183332,1330,27
VW,Golf,2.0,Petrol,1990,118673,2543,32
Toyota,Prius,1.0,Hybrid,1993,333629,478,29
VW,Passat,1.8,Diesel,1991,155034,2526,31
Toyota,Yaris,1.2,Petrol,1990,200892,947,32
Ford,Focus,1.8,Petrol,2020,22371,40336,2
Ford,Mondeo,1.6,Diesel,2015,21834,28435,7
Ford,Focus,1.0,Petrol,1985,223615,633,37
Ford,Mondeo,1.6,Diesel,2007,100798,10008,15
BMW,Z4,2.4,Petrol,1997,103758,6532,25
Ford,Fiesta,1.2,Petrol,1997,156919,1901,25
Toyota,Yaris,1.0,Petrol,2008,42621,9591,14
VW,Passat,1.4,Diesel,2010,64359,15563,12
Ford,Focus,2.0,Petrol,2002,180048,4086,20
Ford,Mondeo,1.6,Hybrid,2005,142689,7247,17
VW,Passat,1.6,Diesel,2018,22122,36634,4
BMW,M5,4.4,Petrol,1987,226046,2956,35
Ford,Focus,1.4,Petrol,1987,236315,763,35
BMW,M5,4.4,Petrol,2008,109941,31711,14
Ford,Fiesta,1.0,Petrol,2009,61615,7859,13
Ford,Focus,1.8,Diesel,1989,297635,585,33
Toyota,Prius,1.8,Hybrid,1995,112413,5238,27
Ford,Fiesta,1.2,Petrol,2008,96911,6318,14
VW,Passat,1.6,Diesel,1990,223561,1229,32
VW,Passat,1.4,Diesel,2020,21413,39310,2
BMW,Z4,2.2,Petrol,2018,32319,40706,4
Toyota,RAV4,2.4,Petrol,2021,6829,66031,1
VW,Polo,1.6,Petrol,2010,108111,7878,12
Ford,Mondeo,1.6,Diesel,1998,137896,4132,24
Ford,Focus,1.6,Petrol,2013,66163,18269,9
VW,Passat,1.6,Diesel,2010,66410,16414,12
BMW,Z4,2.2,Petrol,2014,61332,26084,8
Toyota,RAV4,2.4,Petrol,2016,34379,40646,6
Porsche,911,3.5,Petrol,2003,107705,24378,19
VW,Golf,1.8,Diesel,2014,28530,23034,8
VW,Passat,1.6,Diesel,2015,57933,24207,7
BMW,Z4,2.4,Petrol,1997,146910,4671,25
Toyota,Prius,1.4,Hybrid,2001,152067,5040,21
BMW,M5,4.0,Petrol,2003,123913,19474,19
Toyota,RAV4,1.8,Hybrid,2005,119097,11398,17
VW,Golf,1.2,Diesel,2008,97150,8066,14
Ford,Focus,2.0,Petrol,2010,86405,14567,12
Toyota,Yaris,1.2,Hybrid,2001,85798,5959,21
VW,Golf,2.0,Diesel,2015,50628,22743,7
BMW,Z4,3.0,Petrol,2014,80934,26708,8
VW,Polo,1.0,Petrol,1998,97043,3036,24
Toyota,Yaris,1.0,Petrol,2001,58770,5438,21
VW,Passat,1.8,Petrol,2008,84855,12800,14
VW,Passat,1.6,Diesel,2014,50898,23677,8
Ford,Focus,1.6,Diesel,1998,152532,3704,24
Toyota,RAV4,1.8,Hybrid,2001,212899,3981,21
VW,Golf,1.6,Petrol,2001,140596,3988,21
Porsche,718 Cayman,2.4,Petrol,1988,256489,1183,34
BMW,X3,3.0,Petrol,2018,20441,53379,4
Toyota,Yaris,1.2,Petrol,1986,147185,1145,36
BMW,M5,4.4,Petrol,1997,172030,9255,25
Ford,Focus,1.8,Petrol,2005,149956,6094,17
VW,Passat,1.6,Diesel,2009,134426,9345,13
Toyota,RAV4,1.8,Hybrid,2010,91688,19491,12
Toyota,Prius,1.8,Hybrid,2005,41969,16500,17
VW,Passat,2.0,Petrol,2013,38210,25482,9
Toyota,Prius,1.0,Hybrid,2012,46972,19023,10
BMW,X3,2.0,Diesel,2018,27389,44018,4
VW,Polo,2.0,Petrol,1995,128234,2778,27
VW,Passat,1.4,Diesel,2008,112309,9705,14
VW,Polo,1.4,Petrol,1984,225099,489,38
Porsche,Cayenne,2.6,Diesel,2003,105361,15069,19
Ford,Focus,1.4,Petrol,2005,97979,8039,17
Ford,Mondeo,1.6,Petrol,2016,40104,26053,6
VW,Passat,2.0,Petrol,1993,158259,2822,29
Porsche,718 Cayman,4.0,Petrol,2018,20634,70913,4
BMW,Z4,2.0,Petrol,2010,98644,14728,12
Ford,Focus,2.0,Petrol,1991,176358,2025,31
Ford,Mondeo,1.8,Diesel,1998,69223,7267,24
BMW,X3,3.0,Petrol,2008,20860,27342,14
Toyota,RAV4,2.0,Petrol,2009,59936,19881,13
VW,Polo,1.4,Petrol,2012,58214,11916,10
Ford,Fiesta,1.4,Petrol,2020,33832,22982,2
VW,Golf,1.2,Diesel,2009,104436,8174,13
BMW,Z4,2.0,Petrol,1992,249377,1246,30
Porsche,Cayenne,2.6,Petrol,2003,143603,10667,19
Ford,Mondeo,1.8,Diesel,2007,115932,9481,15
Ford,Fiesta,1.4,Petrol,2016,61363,14854,6
VW,Polo,2.0,Petrol,2016,17810,23636,6
Toyota,RAV4,1.8,Hybrid,2021,8120,68163,1
VW,Polo,2.0,Petrol,1990,142888,1771,32
Toyota,Yaris,1.0,Petrol,2009,68094,8721,13
Ford,Mondeo,2.0,Diesel,2016,51724,28482,6
VW,Polo,1.0,Petrol,1998,224106,1062,24
Ford,Fiesta,1.0,Petrol,2009,83796,6768,13
Toyota,RAV4,2.2,Hybrid,2012,91325,24685,10
VW,Passat,2.0,Diesel,1997,173089,3416,25
Ford,Focus,2.0,Diesel,2013,75451,20153,9
Toyota,Prius,1.0,Hybrid,2006,103766,8671,16
Ford,Mondeo,1.6,Diesel,2014,82221,18224,8
VW,Passat,1.6,Diesel,1985,19000,4129,37
Toyota,RAV4,2.4,Hybrid,2012,94338,25232,10
Porsche,Cayenne,2.6,Diesel,2019,20147,76182,3
VW,Polo,1.2,Diesel,2018,37411,19649,4
Toyota,Yaris,1.2,Petrol,2004,179016,2914,18
Porsche,718 Cayman,2.0,Petrol,1999,206584,3542,23
Toyota,Prius,1.0,Hybrid,1996,87664,5001,26
Ford,Mondeo,1.8,Diesel,2016,29439,30886,6
Ford,Focus,1.0,Diesel,2006,120770,6429,16
Ford,Mondeo,1.6,Diesel,1998,246137,1614,24
Toyota,Prius,1.4,Hybrid,2012,72136,19139,10
Ford,Focus,2.0,Diesel,2001,147478,5272,21
BMW,Z4,2.4,Petrol,1997,149908,4558,25
BMW,M5,4.4,Petrol,1997,66783,20664,25
Ford,Mondeo,1.4,Diesel,2020,18929,37720,2
VW,Golf,1.4,Diesel,2013,53405,16365,9
VW,Golf,1.4,Diesel,2001,136439,4049,21
VW,Polo,1.2,Petrol,2001,110779,3670,21
VW,Golf,2.0,Petrol,1991,188856,1528,31
Toyota,Yaris,1.0,Hybrid,2013,12867,19025,9
Ford,Focus,2.0,Diesel,1994,162098,2930,28
Ford,Mondeo,1.6,Diesel,2013,79521,17370,9
Ford,Mondeo,1.8,Diesel,2011,97523,14195,11
VW,Golf,1.6,Petrol,1994,104541,3304,28
VW,Golf,1.6,Petrol,2016,57451,19835,6
Toyota,Yaris,1.2,Petrol,2003,104794,4947,19
Toyota,Yaris,1.0,Petrol,2002,227469,1517,20
VW,Passat,1.8,Diesel,2006,81107,12073,16
Ford,Fiesta,1.2,Petrol,2008,79566,7142,14
Toyota,Yaris,1.4,Petrol,2007,85068,8043,15
Toyota,RAV4,2.0,Hybrid,2000,123838,8299,22
Toyota,RAV4,2.2,Hybrid,2014,66511,33453,8
VW,Passat,1.6,Diesel,1999,207639,2584,23
BMW,X3,3.0,Diesel,1990,150375,3510,32
VW,Passat,1.4,Diesel,2013,70458,18256,9
Toyota,Prius,1.8,Hybrid,2016,44550,33820,6
VW,Passat,1.6,Petrol,2012,53390,19428,10
Porsche,Cayenne,2.6,Diesel,2015,46563,50028,7
Ford,Fiesta,1.0,Petrol,2002,184586,1916,20
Ford,Fiesta,1.2,Petrol,2004,160915,2933,18
Toyota,Yaris,1.0,Hybrid,2022,5179,36086,0
Toyota,Yaris,1.4,Hybrid,2003,181179,3468,19
VW,Polo,1.4,Petrol,2019,23181,23449,3
Toyota,Yaris,1.4,Hybrid,2016,66611,19942,6
VW,Golf,1.8,Hybrid,1999,105901,5810,23
Ford,Focus,1.4,Diesel,2014,24652,24721,8
Toyota,Yaris,1.0,Petrol,1995,255196,737,27
VW,Polo,1.0,Petrol,2014,24579,14089,8
Toyota,RAV4,1.8,Petrol,2021,21354,52908,1
VW,Golf,2.0,Petrol,1991,117615,2741,31
Ford,Focus,2.0,Petrol,1999,135077,4855,23
Toyota,RAV4,2.0,Hybrid,2006,94325,15441,16
Ford,Fiesta,1.4,Petrol,2010,96320,7831,12
VW,Golf,1.6,Petrol,1990,137231,1967,32
Toyota,RAV4,2.2,Hybrid,2015,35448,43415,7
Toyota,RAV4,2.0,Hybrid,1995,142544,5129,27
BMW,M5,4.0,Petrol,2012,46755,60859,10
VW,Polo,1.6,Petrol,2001,97700,4668,21
BMW,M5,5.0,Petrol,2016,42059,91415,6
VW,Polo,1.6,Petrol,2012,48576,13537,10
VW,Polo,1.4,Petrol,2006,76691,7067,16
Toyota,RAV4,1.8,Hybrid,2017,15473,50215,5
Ford,Focus,2.0,Petrol,2000,110549,6273,22
Ford,Fiesta,1.0,Petrol,1992,183342,994,30
Ford,Focus,1.4,Petrol,2012,94259,13169,10
Ford,Mondeo,1.4,Diesel,2018,42017,28904,4
VW,Golf,1.2,Petrol,1990,159547,1420,32
VW,Polo,1.4,Petrol,2000,73749,4833,22
Toyota,Yaris,1.0,Hybrid,2009,63292,10802,13
VW,Passat,1.4,Diesel,2013,71904,18080,9
Ford,Mondeo,1.4,Diesel,2006,159969,5504,16
Toyota,Yaris,1.2,Petrol,2013,75588,11861,9
Ford,Mondeo,1.4,Diesel,2018,18334,33119,4
VW,Polo,1.2,Petrol,1995,175506,1460,27
Toyota,Prius,1.8,Hybrid,1985,235671,949,37
VW,Polo,1.0,Petrol,1996,144412,1846,26
BMW,M5,4.4,Petrol,2008,79613,39453,14
BMW,M5,4.4,Petrol,2004,108396,24571,18
Porsche,Cayenne,3.0,Petrol,2013,68093,39031,9
Ford,Mondeo,1.6,Hybrid,2019,30152,40482,3
Porsche,911,3.0,Petrol,2015,44761,77091,7
Toyota,Yaris,1.0,Petrol,2012,52525,11780,10
Toyota,Yaris,1.0,Petrol,2005,145747,3754,17
Ford,Mondeo,1.8,Diesel,2016,16626,33172,6
Ford,Mondeo,1.4,Diesel,1998,155019,3364,24
Toyota,Prius,1.4,Hybrid,1996,188308,2658,26
Ford,Focus,2.0,Petrol,2001,72923,8773,21
VW,Golf,1.4,Diesel,2007,104718,7710,15
VW,Polo,2.0,Petrol,1992,258967,731,30
VW,Golf,1.2,Hybrid,2000,168963,3069,22
Ford,Focus,2.0,Diesel,1993,90439,4786,29
Toyota,Prius,1.4,Hybrid,1991,213652,1523,31
Toyota,RAV4,2.2,Hybrid,2012,100268,23140,10
VW,Golf,2.0,Petrol,2019,26479,32650,3
VW,Passat,1.4,Diesel,2009,109384,10605,13
Ford,Focus,2.0,Petrol,2014,39083,25884,8
VW,Passat,2.0,Petrol,2002,73945,9749,20
Ford,Fiesta,1.4,Petrol,2008,114007,6011,14
Toyota,Prius,1.8,Hybrid,2003,125903,8052,19
VW,Polo,1.4,Petrol,1998,126188,2884,24
Porsche,911,3.0,Petrol,1990,178957,5344,32
Ford,Mondeo,1.6,Diesel,1996,118258,4217,26
Toyota,Yaris,1.4,Hybrid,2004,100476,7076,18
Ford,Focus,1.0,Petrol,1985,288486,347,37
VW,Passat,2.0,Diesel,1997,50121,8564,25
Porsche,911,2.6,Petrol,2003,130068,17702,19
VW,Golf,1.8,Petrol,1992,135772,2412,30
VW,Golf,1.8,Petrol,2010,70562,12942,12
Ford,Focus,2.0,Diesel,2003,139651,6417,19
Ford,Focus,1.6,Petrol,2004,106068,7575,18
Porsche,718 Cayman,2.0,Petrol,2019,18978,54090,3
VW,Polo,1.6,Diesel,2000,85142,5015,22
Ford,Mondeo,1.6,Diesel,2012,64490,17978,10
Toyota,Yaris,1.0,Petrol,1993,121417,2045,29
Ford,Focus,1.0,Petrol,2018,19640,26712,4
Toyota,RAV4,2.2,Hybrid,2009,99740,19019,13
Toyota,Yaris,1.4,Petrol,2004,159279,3718,18
Ford,Focus,1.4,Petrol,1996,86718,4782,26
Porsche,718 Cayman,4.0,Petrol,1993,150186,5438,29
BMW,M5,4.4,Petrol,2019,20736,118474,3
VW,Polo,1.4,Petrol,1986,70039,1948,36
BMW,X3,3.0,Diesel,2017,30285,49606,5
Toyota,Yaris,1.2,Petrol,2016,38795,18326,6
Toyota,RAV4,2.4,Hybrid,1995,203197,3359,27
Toyota,RAV4,2.4,Petrol,2011,80839,21637,11
VW,Golf,1.4,Petrol,2002,174535,3010,20
VW,Passat,1.6,Petrol,1993,131899,3125,29
Ford,Focus,1.0,Petrol,2021,14063,33627,1
BMW,Z4,2.4,Petrol,1996,149048,4294,26
VW,Polo,1.0,Petrol,1990,145249,1229,32
Toyota,Prius,1.0,Hybrid,2007,61357,12446,15
Toyota,Yaris,1.2,Hybrid,1997,13000,7167,25
Ford,Fiesta,1.4,Petrol,1986,263206,384,36
Toyota,Yaris,1.4,Petrol,2010,52847,12174,12
VW,Passat,1.6,Diesel,2009,100782,12083,13
VW,Polo,1.0,Petrol,1999,193458,1491,23
Toyota,Yaris,1.2,Petrol,1997,174912,1892,25
Ford,Mondeo,2.0,Hybrid,1998,169431,4074,24
Toyota,Prius,1.0,Hybrid,1993,269373,882,29
BMW,X3,2.0,Diesel,2009,129764,11999,13
Toyota,Prius,1.0,Hybrid,1998,104481,5060,24
Ford,Mondeo,2.0,Diesel,2008,105468,11556,14
BMW,M5,4.0,Petrol,2000,153596,12574,22
Ford,Fiesta,1.4,Petrol,1993,84644,2739,29
VW,Golf,1.6,Petrol,2001,205054,2309,21
VW,Polo,1.0,Petrol,1993,159497,1335,29
Ford,Focus,1.8,Petrol,2002,166994,4332,20
VW,Polo,1.4,Petrol,1997,143465,2352,25
Ford,Mondeo,1.6,Diesel,2015,59927,22621,7
Porsche,718 Cayman,4.0,Petrol,2005,132662,13935,17
Ford,Fiesta,1.4,Petrol,2014,54142,13615,8
Ford,Fiesta,1.0,Petrol,2001,92561,3732,21
Ford,Mondeo,1.6,Petrol,2010,80723,13432,12
Toyota,Yaris,1.2,Petrol,1985,73419,1861,37
Ford,Focus,1.6,Petrol,1995,84529,4856,27
Ford,Focus,1.6,Diesel,2022,5750,49870,0
Toyota,RAV4,2.4,Hybrid,2008,144529,13154,14
Toyota,RAV4,1.8,Hybrid,2014,45184,34655,8
VW,Polo,1.0,Petrol,1992,214329,777,30
Toyota,Prius,1.8,Hybrid,1997,188455,3218,25
VW,Polo,1.4,Petrol,1994,182166,1394,28
Toyota,RAV4,2.2,Hybrid,2018,39082,51898,4
VW,Passat,1.8,Diesel,2001,171268,4296,21
BMW,M5,4.4,Petrol,2011,78714,48487,11
VW,Passat,2.0,Diesel,2011,73733,18680,11
Ford,Mondeo,1.8,Diesel,1997,242305,1659,25
Ford,Mondeo,1.8,Diesel,2001,166344,4239,21
Toyota,Yaris,1.2,Hybrid,1990,97463,2633,32
Ford,Mondeo,1.4,Diesel,2013,50433,19668,9
Ford,Mondeo,1.4,Diesel,2018,24229,32057,4
BMW,Z4,2.2,Petrol,2009,74444,17133,13
Toyota,RAV4,2.2,Hybrid,2016,45462,43702,6
Ford,Mondeo,1.4,Diesel,2006,89524,9500,16
VW,Passat,1.6,Petrol,1991,16000,5963,31
Ford,Mondeo,2.0,Diesel,2022,1487,56459,0
VW,Golf,1.4,Petrol,2011,87947,10825,11
Ford,Mondeo,1.6,Diesel,2016,40113,27354,6
VW,Golf,1.4,Diesel,2000,76717,5902,22
VW,Passat,1.4,Petrol,1991,269218,769,31
Toyota,Prius,1.0,Hybrid,2015,48540,23011,7
Toyota,Prius,1.4,Hybrid,2013,88811,18232,9
Toyota,Yaris,1.0,Petrol,2002,84781,4880,20
Toyota,RAV4,2.2,Hybrid,1989,272683,1142,33
Ford,Mondeo,1.6,Diesel,2018,46461,30075,4
Toyota,RAV4,1.8,Hybrid,2014,53321,32948,8
Ford,Mondeo,1.6,Petrol,1994,264924,989,28
Porsche,Cayenne,4.0,Petrol,2000,145140,10699,22
Toyota,Prius,1.8,Hybrid,2007,132296,9998,15
VW,Golf,1.2,Diesel,1997,144909,2682,25
Ford,Fiesta,1.0,Diesel,1986,138224,1019,36
Porsche,718 Cayman,4.0,Petrol,1988,219671,2140,34
VW,Passat,1.4,Diesel,1989,371762,264,33
VW,Passat,1.4,Diesel,1990,74327,3838,32
VW,Golf,1.6,Petrol,1989,205047,1037,33
Ford,Mondeo,1.6,Diesel,2022,7454,48982,0
VW,Golf,2.0,Diesel,2016,11234,30509,6
VW,Polo,1.6,Petrol,2010,97296,8531,12
VW,Golf,2.0,Petrol,2017,44227,25745,5
VW,Passat,1.4,Diesel,1985,267541,549,37
BMW,Z4,2.2,Petrol,1997,250431,1806,25
Ford,Fiesta,1.2,Petrol,1989,149015,1190,33
Toyota,RAV4,2.0,Hybrid,2004,138340,9666,18
Toyota,Yaris,1.2,Hybrid,1987,133425,1640,35
Toyota,Prius,1.0,Hybrid,2001,143411,4571,21
VW,Polo,1.4,Petrol,2016,40742,17342,6
BMW,M5,5.0,Petrol,1999,82222,22668,23
VW,Golf,1.4,Petrol,2012,49674,14925,10
VW,Polo,1.6,Petrol,2012,66103,12102,10
VW,Golf,1.6,Petrol,1999,91360,5075,23
VW,Polo,2.0,Petrol,1990,215167,954,32
BMW,M5,4.0,Petrol,2006,30902,44836,16
Porsche,911,3.0,Petrol,2014,65307,63310,8
Toyota,Prius,1.8,Hybrid,2018,19017,44797,4
Toyota,Yaris,1.4,Hybrid,2007,143360,6209,15
BMW,Z4,2.4,Petrol,2021,4915,60317,1
BMW,Z4,3.0,Petrol,1993,260043,1477,29
Ford,Focus,1.4,Petrol,2015,36919,23449,7
VW,Polo,1.4,Petrol,2001,105306,4129,21
Toyota,Prius,1.8,Hybrid,1992,231649,1569,30
Ford,Focus,1.6,Petrol,1994,74472,4869,28
Toyota,Yaris,1.2,Petrol,2012,102514,9168,10
VW,Polo,1.0,Petrol,1997,134735,2132,25
Ford,Focus,1.6,Petrol,1992,175881,1944,30
Porsche,Cayenne,3.0,Petrol,2006,126718,16004,16
Toyota,Prius,1.8,Hybrid,2008,86326,15075,14
Ford,Fiesta,1.4,Petrol,1992,245794,673,30
VW,Passat,1.6,Diesel,1988,210194,1213,34
BMW,M5,4.0,Petrol,1984,89953,7064,38
Ford,Fiesta,1.0,Petrol,2006,113610,4460,16
VW,Passat,2.0,Diesel,2003,106761,8665,19
Ford,Fiesta,1.4,Petrol,1992,280925,485,30
Ford,Fiesta,1.2,Petrol,2018,29268,19119,4
Ford,Mondeo,1.8,Diesel,2014,21377,28286,8
Ford,Focus,1.4,Petrol,2010,67366,13881,12
Toyota,Yaris,1.4,Hybrid,2018,26795,29102,4
BMW,Z4,2.4,Petrol,2018,15028,46830,4
Ford,Focus,1.4,Petrol,1995,144557,2883,27
VW,Passat,1.6,Diesel,2011,53818,19033,11
Ford,Fiesta,1.0,Petrol,2005,165149,2762,17
BMW,M5,4.4,Petrol,1995,157046,9184,27
Ford,Mondeo,1.8,Diesel,2002,48312,10853,20
Porsche,911,2.2,Petrol,1998,172529,8241,24
VW,Polo,1.2,Petrol,2018,33619,19135,4
VW,Passat,2.0,Diesel,2001,210531,3218,21
Porsche,911,2.2,Petrol,1995,170716,6851,27
Ford,Focus,1.0,Petrol,2005,102319,6582,17
Ford,Focus,1.6,Petrol,1992,83482,4005,30
BMW,Z4,2.0,Petrol,2003,184605,4636,19
Toyota,Yaris,1.2,Hybrid,2011,68974,13024,11
Toyota,Yaris,1.2,Hybrid,2007,87731,8770,15
Toyota,Prius,1.4,Hybrid,2003,91908,9156,19
VW,Polo,1.2,Petrol,2009,115991,6014,13
VW,Passat,2.0,Diesel,2003,99554,9137,19
VW,Golf,2.0,Petrol,1993,210355,1445,29
VW,Golf,2.0,Diesel,1994,64859,5119,28
BMW,X3,2.0,Petrol,2014,53491,27457,8
Ford,Fiesta,1.4,Petrol,2020,16418,25347,2
Toyota,Prius,1.8,Hybrid,1995,98303,5816,27
Ford,Fiesta,1.2,Petrol,2003,144351,3143,19
VW,Polo,1.4,Petrol,1991,130465,1749,31
Ford,Focus,1.6,Petrol,1992,289432,694,30
Porsche,911,2.6,Petrol,2006,129563,21707,16
Ford,Mondeo,1.6,Petrol,1999,87358,6159,23
Toyota,Prius,1.4,Hybrid,1992,187590,2049,30
VW,Polo,1.2,Petrol,2002,90194,4561,20
Toyota,Yaris,1.4,Petrol,2003,23923,9067,19
Toyota,Prius,1.8,Hybrid,1988,206162,1512,34
Porsche,718 Cayman,4.0,Petrol,2013,40361,45357,9
Toyota,RAV4,1.8,Hybrid,2011,113594,17732,11
VW,Golf,1.8,Hybrid,1993,206465,1702,29
Porsche,718 Cayman,2.4,Petrol,2016,26038,46644,6
Toyota,Yaris,1.0,Petrol,1986,341124,178,36
Ford,Mondeo,1.4,Diesel,1996,147377,3134,26
Toyota,Yaris,1.2,Petrol,2005,69909,7229,17
Ford,Focus,1.6,Diesel,2006,83961,10659,16
VW,Golf,1.8,Hybrid,2016,27600,30239,6
Toyota,RAV4,1.8,Hybrid,2014,63889,30785,8
Toyota,RAV4,1.8,Hybrid,1992,189028,2697,30
Toyota,RAV4,2.0,Hybrid,1990,120842,4361,32
VW,Golf,1.4,Hybrid,2003,166709,4126,19
BMW,X3,2.0,Diesel,2013,49046,27731,9
Toyota,Prius,1.4,Hybrid,1998,229464,2106,24
Porsche,718 Cayman,2.0,Petrol,2014,91341,24511,8
VW,Polo,1.4,Petrol,1995,127882,2330,27
BMW,M5,4.4,Petrol,1994,179812,7091,28
Ford,Fiesta,1.2,Petrol,2008,43714,9014,14
Porsche,Cayenne,3.5,Diesel,1998,83442,14668,24
VW,Passat,1.6,Diesel,2002,135733,5800,20
VW,Golf,1.4,Petrol,2018,13954,27379,4
VW,Polo,1.2,Petrol,1994,243498,746,28
BMW,X3,2.0,Diesel,2016,47735,34147,6
Porsche,718 Cayman,4.0,Petrol,1995,154629,5991,27
VW,Golf,1.6,Diesel,1998,161333,2893,24
Ford,Fiesta,1.2,Petrol,1998,156867,2033,24
Toyota,RAV4,2.0,Hybrid,2022,9373,76303,0
VW,Passat,1.4,Diesel,2002,115000,6374,20
VW,Golf,1.8,Hybrid,2013,56706,20768,9
Ford,Mondeo,1.6,Diesel,1993,138312,2951,29
Toyota,Yaris,1.2,Petrol,2020,20558,26565,2
Porsche,Cayenne,2.6,Diesel,2001,71217,16789,21
Toyota,RAV4,2.0,Hybrid,2018,27542,52923,4
Ford,Mondeo,1.8,Diesel,2012,39923,22247,10
Porsche,718 Cayman,2.4,Petrol,1998,252380,2395,24
Toyota,RAV4,2.0,Hybrid,1993,113342,5640,29
Ford,Focus,1.4,Petrol,1993,106066,3403,29
Toyota,RAV4,2.2,Hybrid,2014,39814,39577,8
